nominal_injection_rate,seed,model,precision,recall,f1,fpr,fnr,alert_rate,tp,fp,fn,tn,ap,auc_roc,recall_delay,n_test_delay,recall_repeat,n_test_repeat,recall_volume,n_test_volume,recall_timestamp,n_test_timestamp
0.1,208,IF,0.2850467289719626,0.8714285714285714,0.4295774647887324,0.8010471204188482,0.12857142857142856,0.8199233716475096,61,153,9,38,0.362590452568314,0.5667165295437546,1.0,6,0.7272727272727273,11,0.875,48,1.0,5.0
0.1,208,OCSVM,0.31521739130434784,0.4142857142857143,0.35802469135802467,0.3298429319371728,0.5857142857142857,0.3524904214559387,29,63,41,128,0.4209919985811058,0.5759162303664922,1.0,6,0.09090909090909091,11,0.3958333333333333,48,0.6,5.0
0.1,208,RF,0.7808219178082192,0.8142857142857143,0.7972027972027972,0.08376963350785341,0.18571428571428572,0.2796934865900383,57,16,13,175,0.8266095179818609,0.9194091249065072,1.0,6,0.36363636363636365,11,0.9791666666666666,48,0.0,5.0
0.1,208,Rule60s,0.42105263157894735,0.11428571428571428,0.1797752808988764,0.05759162303664921,0.8857142857142857,0.07279693486590039,8,11,62,180,,,1.0,6,0.0,11,0.020833333333333332,48,0.2,5.0
0.1,209,IF,0.225130890052356,0.671875,0.33725490196078434,0.774869109947644,0.328125,0.7490196078431373,43,148,21,43,0.3006695412577476,0.4862156413612566,1.0,4,0.6666666666666666,24,0.6176470588235294,34,1.0,2.0
0.1,209,OCSVM,0.25296442687747034,1.0,0.4037854889589905,0.9895287958115183,0.0,0.9921568627450981,64,189,0,2,0.2936462147615956,0.47288121727748694,1.0,4,1.0,24,1.0,34,1.0,2.0
0.1,209,RF,0.7222222222222222,0.609375,0.6610169491525424,0.07853403141361257,0.390625,0.21176470588235294,39,15,25,176,0.718899848745485,0.8405186518324607,1.0,4,0.20833333333333334,24,0.8823529411764706,34,0.0,2.0
0.1,209,Rule60s,0.3157894736842105,0.09375,0.14457831325301204,0.06806282722513089,0.90625,0.07450980392156863,6,13,58,178,,,1.0,4,0.08333333333333333,24,0.0,34,0.0,2.0
0.1,210,IF,0.26294820717131473,0.9565217391304348,0.4125,0.9685863874345549,0.043478260869565216,0.9653846153846154,66,185,3,6,0.26817184525464033,0.46816905683284016,1.0,4,1.0,13,0.9375,48,1.0,4.0
0.1,210,OCSVM,0.2692307692307692,0.9130434782608695,0.4158415841584158,0.8952879581151832,0.08695652173913043,0.9,63,171,6,20,0.3439429019753377,0.5423021473556415,1.0,4,0.9230769230769231,13,0.9166666666666666,48,0.75,4.0
0.1,210,RF,0.75,0.8260869565217391,0.7862068965517242,0.09947643979057591,0.17391304347826086,0.2923076923076923,57,19,12,172,0.8687513579709667,0.9025722740723878,1.0,4,0.38461538461538464,13,0.9791666666666666,48,0.25,4.0
0.1,210,Rule60s,0.375,0.08695652173913043,0.1411764705882353,0.05235602094240838,0.9130434782608695,0.06153846153846154,6,10,63,181,,,1.0,4,0.0,13,0.041666666666666664,48,0.0,4.0
0.2,201,IF,0.4423676012461059,0.993006993006993,0.6120689655172413,0.988950276243094,0.006993006993006993,0.9907407407407407,142,179,1,2,0.5066233406982299,0.536626357068346,1.0,7,1.0,20,0.990990990990991,111,1.0,5.0
0.2,201,OCSVM,0.44200626959247646,0.986013986013986,0.6103896103896104,0.9834254143646409,0.013986013986013986,0.9845679012345679,141,178,2,3,0.5446236165867275,0.5591121585596724,1.0,7,1.0,20,0.9819819819819819,111,1.0,5.0
0.2,201,RF,0.7160493827160493,0.8111888111888111,0.760655737704918,0.2541436464088398,0.1888111888111888,0.5,116,46,27,135,0.8249695291559486,0.854363868176023,1.0,7,0.35,20,0.9009009009009009,111,0.4,5.0
0.2,201,Rule60s,0.5833333333333334,0.0979020979020979,0.16766467065868262,0.055248618784530384,0.9020979020979021,0.07407407407407407,14,10,129,171,,,1.0,7,0.05,20,0.05405405405405406,111,0.0,5.0
0.2,202,IF,0.476878612716763,0.9821428571428571,0.642023346303502,0.9890710382513661,0.017857142857142856,0.9857549857549858,165,181,3,2,0.5407335551912207,0.5234192037470726,1.0,7,0.967741935483871,31,0.9841269841269841,126,1.0,4.0
0.2,202,OCSVM,0.477124183006536,0.8690476190476191,0.6160337552742616,0.8743169398907104,0.13095238095238096,0.8717948717948718,146,160,22,23,0.5512759871151789,0.547976841009628,1.0,7,0.8387096774193549,31,0.873015873015873,126,0.75,4.0
0.2,202,RF,0.8343949044585988,0.7797619047619048,0.8061538461538461,0.14207650273224043,0.22023809523809523,0.4472934472934473,131,26,37,157,0.846473810915372,0.855467733541504,1.0,7,0.1935483870967742,31,0.9365079365079365,126,0.0,4.0
0.2,202,Rule60s,0.65,0.07738095238095238,0.13829787234042554,0.03825136612021858,0.9226190476190477,0.05698005698005698,13,7,155,176,,,1.0,7,0.03225806451612903,31,0.031746031746031744,126,0.25,4.0
0.2,203,IF,0.3952702702702703,0.975,0.5625,0.988950276243094,0.025,0.9833887043189369,117,179,3,2,0.5647508968721816,0.5864410681399631,1.0,17,0.972972972972973,37,0.967741935483871,62,1.0,4.0
0.2,203,OCSVM,0.40404040404040403,1.0,0.5755395683453237,0.9779005524861878,0.0,0.9867109634551495,120,177,0,4,0.5701106274482142,0.6165515653775322,1.0,17,1.0,37,1.0,62,1.0,4.0
0.2,203,RF,0.7959183673469388,0.65,0.7155963302752294,0.11049723756906077,0.35,0.32558139534883723,78,20,42,161,0.8071735876269452,0.8275552486187846,1.0,17,0.10810810810810811,37,0.9193548387096774,62,0.0,4.0
0.2,203,Rule60s,0.6363636363636364,0.175,0.27450980392156865,0.06629834254143646,0.825,0.10963455149501661,21,12,99,169,,,1.0,17,0.05405405405405406,37,0.03225806451612903,62,0.0,4.0
0.2,204,IF,0.4594594594594595,0.9807692307692307,0.6257668711656442,0.989010989010989,0.019230769230769232,0.985207100591716,153,180,3,2,0.5010740548156415,0.5326676528599605,1.0,9,0.967741935483871,31,0.9821428571428571,112,1.0,4.0
0.2,204,OCSVM,0.4624624624624625,0.9871794871794872,0.6298568507157464,0.9835164835164835,0.01282051282051282,0.985207100591716,154,179,2,3,0.5079343446615492,0.4973408002254156,1.0,9,1.0,31,0.9821428571428571,112,1.0,4.0
0.2,204,RF,0.7530864197530864,0.782051282051282,0.7672955974842768,0.21978021978021978,0.21794871794871795,0.47928994082840237,122,40,34,142,0.8375101991606871,0.8218864468864469,1.0,9,0.25806451612903225,31,0.9285714285714286,112,0.25,4.0
0.2,204,Rule60s,0.5652173913043478,0.08333333333333333,0.1452513966480447,0.054945054945054944,0.9166666666666666,0.06804733727810651,13,10,143,172,,,1.0,9,0.0,31,0.03571428571428571,112,0.0,4.0
0.2,205,IF,0.4472049689440994,0.993103448275862,0.6167023554603854,0.978021978021978,0.006896551724137931,0.9847094801223242,144,178,1,4,0.5340211314143131,0.5250094732853353,1.0,16,1.0,25,0.99,100,1.0,4.0
0.2,205,OCSVM,0.44155844155844154,0.9379310344827586,0.6004415011037527,0.945054945054945,0.06206896551724138,0.9418960244648318,136,172,9,10,0.5864269282903284,0.5722622205380825,1.0,16,0.96,25,0.93,100,0.75,4.0
0.2,205,RF,0.7891156462585034,0.8,0.7945205479452054,0.17032967032967034,0.2,0.44954128440366975,116,31,29,151,0.8603665418122644,0.8684160666919288,1.0,16,0.32,25,0.92,100,0.0,4.0
0.2,205,Rule60s,0.6071428571428571,0.11724137931034483,0.19653179190751446,0.06043956043956044,0.8827586206896552,0.0856269113149847,17,11,128,171,,,1.0,16,0.0,25,0.01,100,0.0,4.0
0.2,206,IF,0.41935483870967744,0.9923664122137404,0.5895691609977324,1.0,0.007633587786259542,0.9967845659163987,130,180,1,0,0.46196420458754234,0.5217557251908397,1.0,12,1.0,36,0.9875,80,1.0,3.0
0.2,206,OCSVM,0.42207792207792205,0.9923664122137404,0.592255125284738,0.9888888888888889,0.007633587786259542,0.9903536977491961,130,178,1,2,0.5127887236852877,0.55470737913486,1.0,12,1.0,36,0.9875,80,1.0,3.0
0.2,206,RF,0.8103448275862069,0.7175572519083969,0.7611336032388664,0.12222222222222222,0.2824427480916031,0.3729903536977492,94,22,37,158,0.7557198128279222,0.8090966921119593,1.0,12,0.1388888888888889,36,0.9625,80,0.0,3.0
0.2,206,Rule60s,0.5526315789473685,0.16030534351145037,0.2485207100591716,0.09444444444444444,0.8396946564885496,0.12218649517684887,21,17,110,163,,,1.0,12,0.027777777777777776,36,0.1,80,0.0,3.0
0.2,207,IF,0.4339622641509434,0.9787234042553191,0.6013071895424836,0.989010989010989,0.02127659574468085,0.9845201238390093,138,180,3,2,0.5251438249692951,0.5423193827449146,1.0,11,1.0,24,0.9696969696969697,99,1.0,7.0
